nombre,continente,poblacion,superficie
Afganistán,Asia,43372950,652864
Albania,Europa,2832439,28748
Alemania,Europa,84700000,357588
Andorra,Europa,80000,468
Angola,África,37299617,1246700
Antigua y Barbuda,América del Norte,94298,442
Arabia Saudita,Asia,37648316,2149690
Argelia,África,46830700,2381741
Argentina,América del Sur,47000000,2780400
Armenia,Asia,2780469,29743
Australia,Oceanía,26870000,7741220
Austria,Europa,9104772,83871
Azerbaiyán,Asia,10412651,86600
Bahamas,América del Norte,415223,13880
Bangladés,Asia,174701211,148460
Barbados,América del Norte,281635,430
Bélgica,Europa,11800000,30528
Belice,América del Norte,450003,22966
Benín,África,14476000,114763
Bielorrusia,Europa,9200000,207600
Birmania,Asia,54900000,676578
Bolivia,América del Sur,12224727,1098581
Bosnia y Herzegovina,Europa,3200000,51197
Botsuana,África,2745300,581730
Brasil,América del Sur,217637297,8515767
Brunéi,Asia,450500,5765
Bulgaria,Europa,6687702,110994
Burkina Faso,África,24510000,274200
Burundi,África,13238600,27830
Bután,Asia,787500,38394
Cabo Verde,África,597000,4033
Camboya,Asia,17500000,181035
Camerún,África,29300000,475442
Canadá,América del Norte,41158110,9984670
Catar,Asia,3086100,11586
Chad,África,18600000,1284000
Chile,América del Sur,20042459,756102
China,Asia,1425178782,9596961
Chipre,Asia,1350000,9251
Colombia,América del Sur,52317765,1141748
Comoras,África,910000,2235
Congo (Rep. del),África,6100000,342000
Corea del Norte,Asia,26200000,120538
Corea del Sur,Asia,51700000,100210
Costa de Marfil,África,30300000,322463
Costa Rica,América del Norte,5250000,51100
Croacia,Europa,4000000,56594
Cuba,América del Norte,11193470,109884
Dinamarca,Europa,5950000,43094
Dominica,América del Norte,73000,751
Ecuador,América del Sur,18190484,283561
Egipto,África,114500000,1002450
El Salvador,América del Norte,6300000,21041
Emiratos Árabes Unidos,Asia,9500000,83600
Eritrea,África,3700000,117600
Eslovaquia,Europa,5450000,49035
Eslovenia,Europa,2100000,20273
España,Europa,48592909,505992
Estados Unidos,América del Norte,341814420,9833517
Estonia,Europa,1370000,45227
Etiopía,África,129719000,1104300
Filipinas,Asia,116630000,300000
Finlandia,Europa,5600000,338424
Fiyi,Oceanía,944000,18272
Francia,Europa,64881021,551695
Gabón,África,2500000,267667
Gambia,África,2700000,10689
Georgia,Asia,3730000,69700
Ghana,África,34500000,238533
Granada,América del Norte,126000,344
Grecia,Europa,10300000,131957
Groenlandia,América del Norte,56000,2166086
Guatemala,América del Norte,18800000,108889
Guinea,África,14400000,245857
Guinea-Bissau,África,2100000,36125
Guinea Ecuatorial,África,1750000,28051
Guyana,América del Sur,810000,214969
Haití,América del Norte,11700000,27750
Honduras,América del Norte,10700000,112492
Hungría,Europa,9600000,93028
India,Asia,1441719852,3287263
Indonesia,Asia,280807577,1904569
Irak,Asia,46300000,438317
Irán,Asia,90600000,1648195
Irlanda,Europa,5100000,70273
Islandia,Europa,387800,103000
